
  Uncertainty estimates of LADCP velocity profile 


 Mean	  Min	  Max	  Cast# 

0.059	  0.034	  0.145	   4	 
0.084	  0.068	  0.121	   9	 
0.068	  0.053	  0.116	  10	 
0.059	  0.045	  0.151	  11	 
0.045	  0.031	  0.093	  12	 
0.036	  0.009	  0.086	  13	 
0.036	  0.017	  0.056	  14	 
0.041	  0.022	  0.101	  15	 
0.029	  0.015	  0.070	  16	 
0.039	  0.021	  0.103	  17	 
0.039	  0.009	  0.135	  18	 
0.040	  0.015	  0.103	  19	 
0.048	  0.036	  0.137	  20	 
0.037	  0.027	  0.084	  21	 
0.041	  0.025	  0.119	  28	 
0.042	  0.019	  0.114	  29	 
0.040	  0.019	  0.121	  30	 
0.041	  0.009	  0.145	  31	 
0.036	  0.024	  0.111	  32	 
0.045	  0.017	  0.132	  33	 
0.040	  0.024	  0.151	  35	 
0.039	  0.025	  0.108	  36	 
0.040	  0.009	  0.164	  37	 
0.044	  0.028	  0.123	  38	 
0.042	  0.034	  0.129	  39	 
0.043	  0.027	  0.075	  40	 
0.039	  0.026	  0.078	  41	 
0.042	  0.026	  0.135	  42	 
0.040	  0.025	  0.088	  43	 
0.043	  0.031	  0.085	  48	 
0.043	  0.020	  0.152	  49	 
0.040	  0.030	  0.111	  50	 
0.042	  0.026	  0.085	  51	 
0.040	  0.022	  0.118	  52	 
0.040	  0.027	  0.111	  53	 
0.043	  0.013	  0.114	  54	 
0.042	  0.020	  0.136	  55	 
0.039	  0.018	  0.100	  56	 
0.036	  0.009	  0.087	  57	 
0.039	  0.017	  0.136	  58	 
